Glia and neuronal cell	Oligodendrocyte	B cell	Pericyte	Endothelial cell	T cell	Myeloid cell
1500x296	0.272241953731941	0.0196456979388834	0.0483844076232869	0.311137012890591	0.287339775985087	0.00399377818937263	0.0572573736408387
1533x296	0.280876587218896	0.0200626159483375	0.0497238116100704	0.308462019320419	0.27838398752815	0.00379873104360344	0.0586922473305234
1797x296	0.516103827578689	0.0290655453490271	0.059310012425537	0.164970924981728	0.186366789390986	0.00245827911538241	0.0417246211586512
1830x296	0.519912315630251	0.0256173268106681	0.0747965786111394	0.163172688626289	0.177989243469425	0.00314964072854249	0.0353622061236837
1863x296	0.482356172628866	0.0212570129171226	0.091618926305039	0.164342157151998	0.183319866236281	0.00350683998497417	0.0535990247757192
1896x296	0.412442623232909	0.0245399557040863	0.0638949536090379	0.211148454195864	0.229517115842205	0.00239191835973537	0.0560649790561621
1335x329	0.149592355162068	0.0106416441176503	0.0377210390656435	0.442309926441908	0.31734680202327	0.00225672373725535	0.0401315094522033
1368x329	0.195123173477539	0.0134353489966088	0.036595613245249	0.406583493384157	0.30291963787813	0.00225481042300705	0.0430879225953096
1401x329	0.218360766477331	0.011396444508545	0.0459765864277343	0.363537476288558	0.301033748589995	0.00246052103795772	0.0572344566698789
1434x329	0.236797026567269	0.0125029861640515	0.0439811674011863	0.34121194359962	0.315319390012641	0.00231486003290605	0.0478726262223258
1467x329	0.240561013845012	0.0145436626518045	0.0438301951879556	0.333934781479194	0.313815624784035	0.00280625440210778	0.0505084676498905
1500x329	0.26791095347977	0.0173671698870061	0.0483121334446103	0.318374446931569	0.290140275719175	0.00328820831404081	0.0546068122238286
1533x329	0.283930682061644	0.0182618826137646	0.0500829035152977	0.309646167228197	0.278041431416532	0.0032349981083197	0.0568019350562452
1566x329	0.291356010489142	0.0187374430781881	0.050660464910409	0.30560177034217	0.272689948873369	0.00320658855244692	0.0577477737542752
1764x329	0.54252257682003	0.0278744877216541	0.0764617805743418	0.145898899783375	0.148641620046817	0.00317981449067755	0.0554208205631045
1797x329	0.55762853458948	0.0312742371785264	0.0603246934153936	0.143519250187169	0.166602207500654	0.00255681539026183	0.0380942617385147
1830x329	0.551441421938905	0.0285806130231098	0.0657208193059673	0.135829985294469	0.179626832276659	0.00162671444372698	0.0371736137171639
1863x329	0.512649501163215	0.0253056729426031	0.0737241987938718	0.152208062871527	0.190507130345753	0.00250513000431443	0.0431003038787155
1896x329	0.458147192387223	0.0248011213653521	0.0531782222472671	0.198251078297962	0.224188482062581	0.00213813859006525	0.0392957650495498
1302x362	0.12753167564855	0.00931765187665472	0.0383817196746551	0.415628767749618	0.362514013623185	0.000970511133942903	0.045655660293395
1335x362	0.129520123178711	0.0108517264046539	0.0358913829371696	0.422127137576699	0.356458148817769	0.00144092583818143	0.0437105552468153
1368x362	0.155094471677901	0.0133591564115272	0.0387955700520182	0.413586744900499	0.332614872411377	0.00247846040265953	0.0440707241440185
1401x362	0.200686464260839	0.0133692721400887	0.0461058418276847	0.377634198761287	0.313712896653978	0.00290861239734348	0.0455827139587788
1434x362	0.210365806781433	0.0126659910306715	0.0469042857256225	0.357677290288091	0.320350674872877	0.00309409681630488	0.0489418544850011
1467x362	0.248665717426019	0.0150677708457766	0.0475405267487681	0.332996331067462	0.300777422776956	0.00292604500015388	0.0520261861348638
1500x362	0.266893581416575	0.0163148240168215	0.0487625917439013	0.321728650971298	0.289279132110693	0.00296476468739798	0.0540564550533132
1533x362	0.286084474284235	0.0175770502987963	0.0501734185481516	0.310705215594651	0.276035454498047	0.00294625934715817	0.0564781274289616
